"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:12:59.3047060 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"12:12:59.3047119 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"12:12:59.3047187 PM","loader2.exe","572","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007","SUCCESS",""
"12:12:59.3047314 PM","loader2.exe","572","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64","SUCCESS",""
"12:12:59.3047376 PM","loader2.exe","572","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS",""
"12:12:59.3047493 PM","loader2.exe","572","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"12:12:59.3047554 PM","loader2.exe","572","RegOpenKey","HKLM\System\CurrentControlSet\Services\Winsock2\Parameters","REPARSE","Desired Access: Query Value"
"12:12:59.3047623 PM","loader2.exe","572","RegOpenKey","HKLM\System\CurrentControlSet\Services\Winsock2\Parameters","SUCCESS","Desired Access: Query Value"
"12:12:59.3047704 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Ws2_32NumHandleBuckets","NAME NOT FOUND","Length: 16"
"12:12:59.3047781 PM","loader2.exe","572","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS",""
"12:12:59.3048164 PM","loader2.exe","572","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"12:12:59.3048228 PM","loader2.exe","572","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"12:12:59.3048296 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
